"Clase","Bin","Bin_center","AP","n"
"Vehículo grande","[0,12.2]",6.1,0.279166443665106,40000
"Vehículo grande","(12.2,20.8]",16.5,0.467432820277572,40000
"Vehículo grande","(20.8,29.2]",25,0.555305370171344,40000
"Vehículo grande","(29.2,43.7]",36.45,0.393777347778955,40000
"Vehículo grande","(43.7,99.7]",71.7,0.191109584073876,40000
"Persona","[0,12.2]",6.1,0.784267363840712,40000
"Persona","(12.2,20.8]",16.5,0.871363070614162,40000
"Persona","(20.8,29.2]",25,0.984715235401323,40000
"Persona","(29.2,43.7]",36.45,0.9861734665719,40000
"Persona","(43.7,99.7]",71.7,0.916075746544309,40000
